,beer_style,abv,num_ratings,beer_style_group,prepped_words,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
10178,Sour - Fruited,7.0,1224,Sour,"['fruited', 'sour', 'strawberry', 'blueberry', 'boysenberry', 'together', 'form', 'monster', 'many', 'head', 'keep', 'eye', 'peeled', 'even', 'combination']",10,2019,3.0,0.2186
10179,Brown Ale - American,5.2,429,Brown Ale,"['chocolate', 'coffee', 'caramel', 'combine', 'oldworld', 'floral', 'create', 'comforting', 'aromatic']",6,2013,6.0,0.2072
10180,English Bitter,4.5,596,Other,"['solid', 'drinkable', 'cheer']",2,2013,2.0,0.1761
10181,Stout - Oatmeal,7.2,3893,Stout,"['smooth', 'oat', 'black', 'chocolate', 'ekg', 'columbus', 'pirate', 'life', 'perfect', 'cooler', 'take', 'centre', 'stage', 'cacophony', 'coffee', 'chocolate', 'sticky', 'date', 'pudding', 'rich', 'creamy', 'mouthfeel', 'thanks', 'oat', 'columbus', 'smack', 'palate', 'healthy', 'dose', 'bitterness', 'also', 'work', 'ekg', 'lending', 'gentle', 'earthy', 'spiciness', 'result', 'pirate', 'life', 'excited', 'share']",1,2016,6.0,0.2072
10182,Lager - Pale,4.5,172,Lager,"['great', 'barrier', 'australian', 'good', 'co', 'australian', 'award', 'winning', 'ballistic', 'company', 'crisp', 'tasty', 'single', 'session', 'galaxy', 'give', 'passionfruit', 'taste', 'percent', 'every', 'sold', 'go', 'australian', 'marine', 'conservation', 'society', 'help', 'protect', 'great', 'barrier', 'reef', 'future', 'generation']",8,2019,2.0,0.2729
10183,IPA - New England,7.3,30154,IPA,"['australian', 'hopped', 'australian', 'grown', 'vic', 'secret', 'ella', 'summer', 'giant', 'thankyou', 'true', 'fan', 'supporter', 'appreciated']",6,2015,1.0,0.1997
10184,Stout - White,5.4,17640,Stout,"['worked', 'together', 'portola', 'coffee', 'lab', 'paradox', 'oat', 'milk', 'sugar', 'coffee', 'instead', 'roasted', 'grain', 'pumped', 'full', 'nitrogen', 'order', 'even', 'creaminess', 'full', 'bodied', 'deep', 'golden', 'color', 'smooth', 'flavorful', 'layer', 'pecan', 'pie', 'cinnamon', 'cookie', 'dough']",11,2013,6.0,0.2954
10185,Ginger Beer,5.2,194,Other,"['original', 'ginger', 'infused', 'local', 'kenyan', 'blue', 'basil', 'rayburn', 'farm']",8,2018,3.0,0.1883
10186,Gluten-Free,5.3,316,Other,"['sweet', 'chocolate', 'porder', 'dry', 'beaned', 'tony', 'coffee', 'ganesha', 'espresso']",6,2016,6.0,0.2222
10187,Cider - Herbed / Spiced / Hopped,6.9,460,Cider,"['shared', 'universe', 'collaboration', 'finback', 'hopped', 'strawberry', 'mochi', 'cider', 'matcha', 'citra', 'milk', 'sugar', 'vanill']",6,2018,2.0,0.194
10188,Mead - Cyser,6.0,1595,Mead,"['lake', 'effect', 'snow', 'noreaster', 'snow', 'roller', 'polar', 'vortex', 'thing', 'get', 'little', 'crazy', 'snowbelt', 'tale', 'road', 'crew', 'using', 'spiced', 'cranberry', 'cyser', 'treat', 'icy', 'road', 'purely', 'urban', 'legend', 'regardless', 'sure', 'give', 'brief', 'respite', 'winter', 'warming', 'vanilla', 'cinnamon', 'chill', 'nearest', 'snowdrift', 'snap', 'photo', 'tag', 'snowbeltcyser']",11,2014,2.0,0.2623
10189,Barleywine - American,12.0,1002,Barleywine,"['bourbon', 'barrel', 'aged', 'collaboration', 'boundary']",7,2017,3.0,0.2121
10190,Brown Ale - Other,10.0,150,Brown Ale,"['wakie', 'wakie', 'brunchmaster', 'crazy', 'rich', 'infused', 'maple', 'cinnamon', 'vanilla', 'like', 'favorite', 'french', 'toast', 'lazy', 'sunday', 'morning', 'contains', 'lactose']",6,2019,6.0,0.2862
10191,Lager - Helles,5.1,593,Lager,"['light', 'every', 'sense', 'classic', 'bill', 'addition', 'classic', 'european', 'created', 'forward', 'bright', 'clean', 'helles']",11,2014,5.0,0.2527
10192,Lager - American,5.4,181,Lager,"['jasmine', 'rice']",11,2019,5.0,0.1987
10193,Stout - Imperial / Double,13.0,277,Stout,"['ba', 'nitro']",4,2019,3.0,0.1795
10194,Extra Special / Strong Bitter,5.5,461,Other,"['say', 'oldfashioned', 'bad', 'thing', 'sometimes', 'nothing', 'better', 'stonking', 'bitter', 'bitter', 'world', 'esb', 'king', 'packed', 'sweet', 'moderate', 'fruity', 'bitterness', 'balanced', 'ballerina', 'tightrope']",2,2018,4.0,0.257
10195,Brown Ale - American,7.2,792,Brown Ale,"['commemorate', 'birthday', 'spawned', 'hazelnut', 'ridiculously', 'good', 'rich', 'chocolate', 'addition', 'real', 'cocoa', 'amped', 'creaminess', 'dialled', 'strength']",11,2016,6.0,0.2051
10196,Cider - Other Fruit,4.0,2047,Cider,"['expertly', 'blended', 'crisp', 'somerset', 'cider', 'tangy', 'rhubarb', 'make', 'taste', 'sensation', 'sweet', 'full', 'rhubarb', 'tart', 'edge']",2,2017,3.0,0.2188
10197,Lager - Munich Dunkel,5.6,536,Lager,"['munich', 'used', 'create', 'rich', 'smooth', 'complex', 'toasted', 'bread', 'crust', 'dependably', 'drinkable', 'whether', 'oz', 'taster', 'liter', 'stein', 'boiler', 'brewmaster', 'tim', 'thomssen', 'devised', 'name', 'rooted', 'deep', 'folklore', 'take', 'much', 'thought', 'equal', 'part', 'crack', 'code', 'meaning', 'prost']",2,2018,5.0,0.2363
10198,Bock - Single / Traditional,6.3,169,Bock,"['dunkles', 'bock', 'rare', 'similar', 'lighter', 'dopplebock', 'toasty', 'subtle', 'caramel', 'toffee', 'part', 'bearly', 'series', 'crafted', 'reduce', 'gluten']",6,2018,5.0,0.2003
10199,Golden Ale,4.2,204,Other,"['glissfully', 'golden', 'grew', 'gright', 'hoppy', 'gite']",6,2017,2.0,0.2024
10200,Stout - Imperial / Double Milk,12.3,2090,Stout,"['barrel', 'room', 'collection', 'v', 'ibs', 'imperialized', 'version', 'breakfast', 'champion', 'aged', 'woodford', 'reserve', 'bourbon', 'barrel', 'copious', 'amount', 'dark', 'roasted', 'liquid', 'breakfast', 'mug', 'used', 'insane', 'amount', 'locally', 'roasted', 'coffee', 'ghanaian', 'cocoa', 'nib', 'local', 'maple', 'syrup', 'rounded', 'oak', 'packing', 'bourbon', 'punch', 'deliver', 'fitting', 'start', 'day', 'drink', 'day', 'start', 'morning', 'right']",2,2017,6.0,0.2801
10201,IPA - American,6.0,1667,IPA,"['winner', 'replicale', 'competition', 'interpretation', 'challenge', 'create', 'scotland', 'mix', 'malted', 'oat', 'barley', 'dry', 'hopped', 'active', 'fermentation', 'fermentation', 'complete', 'juicy', 'starburst']",11,2017,1.0,0.2142
10202,Stout - Imperial / Double,12.0,4884,Stout,"['press', 'gang', 'needed', 'join', 'ship', 'company', 'six', 'hold', 'ageing', 'bourbon', 'barrel', 'voyage', 'fortuitous', 'start', 'rich', 'mocha', 'cocoa', 'vanilla', 'sweet', 'tiramisu', 'lift', 'sail', 'sens', 'making', 'plain', 'sailing', 'tiramisu', 'crew', 'get', 'dessert']",9,2019,6.0,0.2521
10203,Stout - Imperial / Double Milk,9.1,426,Stout,"['silky', 'smooth', 'milk', 'heap', 'breakfast', 'cereal', 'marshmallow', 'packing', 'punch', 'magically', 'deliciou']",3,2019,6.0,0.2095
10204,Belgian Quadrupel,10.7,313,Belgian,"['gab', 'entry', 'small', 'batch', 'belgian', 'quad', 'whole', 'swag', 'specialty', 'belgian', 'aged', 'exshiraz', 'mouvedre', 'cabernet', 'wine', 'barrel']",3,2019,3.0,0.2308
10205,Porter - Imperial / Double,10.0,1272,Porter,"['primal', 'cut', 'started', 'smoked', 'porter', 'coffee', 'blackcurrant', 'ageing', 'bourbon', 'barrel', 'thrilled', 'developed', 'complex', 'porter', 'blackcurrant', 'shine', 'beautifully', 'deep', 'coffee', 'chocolate', 'complemented', 'wisp', 'smoke', 'air', 'distinctive', 'bourbon']",1,2019,6.0,0.2266
10206,Farmhouse Ale - Bière de Garde,7.4,1418,Farmhouse Ale,"['bière', 'de', 'garde', 'pours', 'reddish', 'bronze', 'give', 'prominent', 'malty', 'sweetness', 'often', 'complex', 'light', 'moderate', 'toasty', 'suggestion', 'orange', 'blossom', 'nose', 'medium', 'toasty', 'toffee', 'like', 'caramel', 'sweetness']",1,2015,4.0,0.3288
10207,Farmhouse Ale - Sahti,9.0,16164,Farmhouse Ale,"['rye', 'caramelize', 'wort', 'white', 'hot', 'river', 'rock', 'ferment', 'weizen', 'yeast', 'addition', 'juniper', 'berry', 'foraged', 'directly', 'finnish', 'countryside', 'added', 'sort', 'tea', 'black', 'tea', 'cardamom', 'cinnamon', 'ginger', 'clove', 'black', 'pepper']",12,2010,5.0,0.2607
10208,Shandy / Radler,4.0,884,Other,"['ife', 'journey', 'let', 'enjoy', 'radler', 'ride', 'take', 'tastebud', 'refreshing', 'ride', 'unique', 'infusion', 'sweet', 'citrus', 'perfection', 'fun', 'carefree', 'day', 'ahead', 'enjoy', 'delicious', 'freshly', 'cut', 'ripe', 'blood', 'orange', 'every', 'ride', 'story', 'make', 'adventure', 'scooter', 'blood', 'orange', 'radler', 'crafted', 'sunny', 'day', 'smooth', 'sip', 'crushable', 'refreshment']",8,2017,2.0,0.3358
10209,Brown Ale - English,4.3,247,Brown Ale,"['creamy', 'malty', 'rich', 'caramel', 'coffee', 'deep', 'dark', 'colour', 'roasted', 'topped', 'thick', 'light', 'tan', 'head']",10,2015,4.0,0.2361
10210,Belgian Dubbel,8.0,700,Belgian,"['special', 'release', 'series', 'dark', 'candi', 'sugar', 'classic', 'belgian', 'dubbel', 'fermented', 'fresh', 'plum', 'aged', 'madagascan', 'vanilla', 'adding', 'complexity', 'already', 'beguiling', 'rich', 'caramel', 'burnt', 'sugar', 'seamlessly', 'fresh', 'plum', 'teasing', 'vanilla']",6,2019,6.0,0.2266
10211,Barleywine - American,11.0,549,Barleywine,"['superbly', 'strong', 'fullbodied', 'barley', 'wine', 'boozy', 'caramel', 'fresh', 'citrussy', 'kick', 'smooth', 'robust', 'warming', 'alcohol', 'lot', 'toffee', 'candied', 'peel', 'dried', 'citrus', 'fruit', 'huge', 'depth', 'lingering', 'moreish']",2,2012,4.0,0.2904
10212,Red Ale - American Amber / Red,6.0,3669,Red Ale,"['inspired', 'bursting', 'floral', 'citrus', 'balanced', 'caramel', 'selected', 'speciality', 'carared', 'munich', 'citra', 'original', 'gravity']",5,2014,5.0,0.1905
10213,Stout - Oatmeal,6.0,2610,Stout,"['australia', 'awarded', 'chocolate', 'coffee', 'wrapped', 'within', 'smooth', 'luscious', 'body']",4,2011,6.0,0.2222
10214,Lager - Helles,4.1,231,Lager,"['blonde', 'hallertau', 'northern', 'golding', 'named', 'muker', 'silver', 'band', 'formed']",6,2011,2.0,0.2034
10215,Wheat Beer - Other,4.5,737,Wheat Beer,"['fruited', 'wheat', 'w', 'raspberry', 'strawberry', 'boysenberry']",6,2019,3.0,0.2061
10216,IPA - Red,6.5,264,IPA,"['collab', 'friend', 'basic', 'city', 'co', 'hazy', 'red', 'caramel', 'vienna', 'touch', 'chocolate', 'loaded', 'mosaic', 'denali', 'el', 'dorado']",6,2018,1.0,0.2222
10217,Brown Ale - Other,11.0,885,Brown Ale,"['good', 'friend', 'bruery', 'visited', 'australia', 'inspired', 'bakery', 'series', 'decided', 'make', 'version', 'desert', 'favourite', 'sticky', 'date', 'pudding', 'rich', 'delicious', 'loaded', 'date', 'paste', 'left', 'boy', 'finishing', 'sticky', 'handshake']",6,2019,2.0,0.2237
10218,Pale Ale - International,3.8,157,Pale Ale,"['single', 'session', 'showcasing', 'mandarina', 'bavaria', 'fruity', 'modern']",5,2019,5.0,0.2222
10219,IPA - Quadruple,17.0,258,IPA,"['west', 'coast', 'quintuple', 'smooth', 'sipping', 'heavy', 'hitting', 'include', 'citra', 'ekuanot', 'mosaic', 'bru', 'cascade', 'centennial']",6,2020,1.0,0.2604
10220,Farmhouse Ale - Saison,5.0,272,Farmhouse Ale,"['keen', 'mustard', 'fivegrain', 'oak', 'fermented', 'aimed', 'showcasing', 'primary', 'fermentation', 'characteristic', 'culture', 'march', 'th', 'entirely', 'single', 'origin', 'nsw', 'barley', 'emmer', 'rye', 'spelt', 'wheat', 'emmer', 'ancient', 'wheat', 'used', 'time', 'lends', 'beautiful', 'herbal', 'spice', 'element', 'aromatics', 'keen', 'hopped', 'nsw', 'grown', 'hallertau', 'fuggle', 'bemboka', 'nsw', 'underwent', 'primary', 'fermentation', 'six', 'french', 'oak', 'barriques', 'undergoing', 'three', 'tertiary', 'fermentation', 'conditioning', 'keg', 'release', 'packaged', 'april', 'allowed', 'mature', 'keg', 'release', 'packaging', 'p', 'sg']",5,2018,3.0,0.4064
10221,Ginger Beer,8.0,496,Other,"['ittle', 'fat', 'lamb', 'ginger']",10,2015,1.0,0.1749
10222,IPA - Red,7.8,2443,IPA,"['inspired', 'favorite', 'west', 'coast', 'say', 'face', 'ludicrously', 'good', 'red', 'inyourface', 'wellbalanced', 'caramel', 'sweetness', 'intense', 'eureka', 'chinook', 'amarillo', 'enhances', 'toasted', 'backbone', 'provide', 'fullflavored', 'lot', 'complexity']",5,2013,4.0,0.2131
10223,Stout - Oyster,4.6,19800,Stout,"['pidly', 'becoming', 'best', 'selling', 'superbly', 'balanced', 'smooth', 'rounded', 'without', 'bland', 'sweetness', 'derived', 'fresh', 'oyster', 'shucked', 'conditioning', 'tank', 'way', 'go', 'course', 'suitable', 'vegetarian']",11,2010,4.0,0.229
10224,Porter - Imperial / Double Baltic,7.2,4922,Porter,"['balticstyle', 'porter', 'inspired', 'strong', 'dark', 'exported', 'great', 'britain', 'eastern', 'europe', 'th', 'th', 'century', 'rich', 'flavorful', 'upfront', 'chocolate', 'caramel', 'toffee']",11,2010,6.0,0.2206
10225,Non-Alcoholic Beer,0.3,241,Other,"['unique', 'highly', 'refreshing', 'alcohol', 'free', 'craft', 'keep', 'coming', 'back', 'amber', 'colour', 'slightly', 'sour', 'pear', 'apple', 'tangy', 'team', 'favourite', 'coast', 'whenever', 'looking', 'change', 'hopforward', 'calorie', 'pilsner', 'wheat', 'east', 'kent', 'golding', 'vegan', 'yes', 'allnatural', 'water', 'malted', 'barley', 'yeast']",3,2019,4.0,0.2439
10226,Blonde Ale,6.2,179,Other,"['funky', 'brettblonde', 'aged', 'pinot', 'noir', 'barrel', 'conditioned', 'apricot', 'puree', 'pinot', 'gris', 'grape']",8,2018,3.0,0.2796
10227,Patersbier,4.2,275,Other,"['patersbier', 'belgian', 'monk', 'make', 'excusively', 'drink', 'super', 'light', 'refreshing', 'belgian']",4,2018,5.0,0.2167
10228,Cider - Traditional,7.0,192,Cider,"['higher', 'alcohol', 'percentage', 'cornish', 'original', 'cider', 'cornish', 'scrumpy', 'cider', 'little', 'rugged', 'still', 'sparkling', 'keeping', 'traditional', 'heritage']",7,2013,5.0,0.2847
10229,Lambic - Framboise,6.0,1325,Lambic,"['framzwart', 'spontaneously', 'fermented', 'adhering', 'méthode', 'tradionnelle', 'standard', 'aged', 'used', 'french', 'oak', 'barrel', 'refermented', 'pound', 'per', 'gallon', 'black', 'raspberry', 'three']",7,2018,3.0,0.3266
10230,IPA - Belgian,7.2,267,IPA,"['collaboration', 'five', 'cloud', 'co', 'imbc', 'kohu', 'hazy', 'englandbelgianstyle', 'oat', 'wheat', 'extensively', 'hopped', 'dryhopped', 'three', 'kiwi', 'varietal', 'rakau', 'motueka', 'green', 'bullet', 'fermented', 'belgian', 'yeast', 'strain', 'depth', 'term']",9,2017,1.0,0.2861
10231,Rye Beer,4.8,1945,Other,"['red', 'hopped', 'centennial', 'columbus', 'allied', 'small', 'amount', 'rye', 'give', 'spicy', 'increased', 'briefly', 'december', 'appears', 'back', 'according', 'pump', 'clip']",1,2013,1.0,0.2106
10232,Stout - Imperial / Double Coffee,10.1,417,Stout,"['watcher', 'coffee', 'cherry', 'double', 'super', 'complex', 'different', 'hopped', 'challenger', 'bramling', 'cross', 'fermented', 'custom', 'rustic', 'ester', 'heavy', 'strain', 'yeast', 'retoasted', 'oak', 'added', 'fermentation', 'aged', 'kg', 'morello', 'cherry', 'freshly', 'roasted', 'brazilian', 'bela', 'época', 'peabean', 'coffee', 'coldbrew', 'courtesy', 'faodail', 'roastery', 'pretty', 'insaney']",7,2019,6.0,0.2096
10233,Sour - Fruited Berliner Weisse,3.7,399,Sour,"['strongest', 'specie', 'survive', 'intelligent', 'responsive', 'change', 'today', 'charles', 'darwin', 'word', 'take', 'meaning', 'threat', 'human', 'activity', 'imposes', 'planet', 'begs', 'question', 'change', 'adapt', 'create', 'future', 'nature', 'human', 'thrive', 'believe', 'sustainable', 'production', 'consumption', 'even', 'industry', 'vital', 'ensure', 'health', 'planet', 'altruist', 'minimised', 'environmental', 'impact', 'sourcing', 'local', 'using', 'recyclable', 'compostable', 'packaging', 'including', 'cornstarch', 'label', 'offsetting', 'carbon', 'emission', 'planting', 'native', 'scottish', 'tree']",6,2019,2.0,0.4139
10234,Pale Ale - Australian,5.4,612,Pale Ale,"['named', 'fruity', 'australian', 'galaxy', 'peach', 'passionfruit', 'followed', 'soft', 'tangerine', 'dry', 'moderate', 'bitterness', 'lingering', 'soft', 'tropical', 'fruit', 'palette']",10,2014,1.0,0.2626
10235,Pale Ale - Australian,5.0,250,Pale Ale,"['tropical', 'nelson', 'sauvin', 'zealand', 'cascade', 'mellow', 'bitterness', 'light', 'amber', 'australianstyle']",4,2016,1.0,0.2222
10236,IPA - Brut,5.5,541,IPA,"['member', 'spoonbanging', 'college', 'dinner', 'well', 'pretty', 'sure', 'drink', 'originated', 'ask', 'jess', 'though', 'told', 'google', 'thanks', 'bub', 'anyway', 'oj', 'champagne', 'salute']",10,2019,2.0,0.2517
10237,Australian Sparkling Ale,4.8,2512,Other,"['designed', 'perfect', 'cleansing', 'golden', 'straw', 'colour', 'use', 'malted', 'wheat', 'imparts', 'dry', 'matched', 'clean', 'distinct', 'imparted', 'ella', 'variety']",7,2012,5.0,0.2037
10238,Porter - Other,6.5,900,Porter,"['black', 'cork', 'edinburgh', 'th', 'th', 'century', 'bell', 'used', 'located', 'pleasance', 'theatre', 'stand', 'recipe', 'secret', 'black', 'cork', 'seems', 'died', 'last', 'robert', 'keir', 'created', 'intensely', 'dark', 'using', 'crystal', 'chocolate', 'oat', 'malted', 'wheat', 'added', 'stage', 'create', 'prominent', 'bitterness']",12,2011,2.0,0.2307
10239,IPA - International,6.5,2454,IPA,"['together', 'project', 'conceived', 'curated', 'half', 'nyc', 'purpose', 'uniting', 'independent', 'helping', 'raise', 'fund', 'hospitality', 'industry', 'professional', 'affected', 'covid', 'lockdown', 'participating', 'asked', 'recipe', 'released', 'half', 'donate', 'proportion', 'choosing', 'relevant', 'cause', 'nominated', 'charity', 'http', 'wwwhospitalityactionorguk', 'bold', 'glowing', 'full', 'freshability', 'soft', 'deep', 'layer', 'upon', 'layer', 'blooming', 'tropical', 'madness', 'charged', 'busting', 'point', 'lashing', 'mosaic', 'simcoe', 'cascade', 'citra', 'giving', 'sleek', 'dripping', 'slice', 'ripe', 'mango', 'crushed', 'pineapple', 'ripe', 'peach', 'zesty', 'grapefruit', 'crush']",11,2020,1.0,0.2907
10240,IPA - Brut,8.0,299,IPA,"['mirage', 'proam', 'collaboration', 'home', 'stephen', 'smith', 'together', 'easy', 'drinking', 'tropical', 'fermented', 'freshly', 'pressed', 'pineapple', 'guava', 'watch']",10,2018,3.0,0.1846
10241,Pilsner - Czech,4.6,293,Pilsner,"['british', 'floor', 'classic', 'czech', 'super', 'soft', 'sheffield', 'water', 'fermented', 'czech', 'yeast', 'dryhopped', 'simcoe', 'mosaic', 'stunningly', 'tropical', 'pilsner']",3,2019,5.0,0.2604
10242,Cream Ale,7.5,197,Other,"['cold', 'tanzanian', 'coffee', 'via', 'coffee', 'work', 'chocolate', 'citrus', 'caramel']",11,2018,6.0,0.2375
10243,Old Ale,11.9,155,Other,"['retired', 'longer', 'ohanlon', 'took', 'brand', 'revived', 'discontinued', 'batch']",11,2010,2.0,0.2047
10244,Winter Warmer,7.5,451,Other,"['nothing', 'say', 'christmas', 'quite', 'like', 'mulled', 'spice', 'could', 'nt', 'resist', 'making', 'mulled', 'version', 'rosé', 'winestyled', 'wild', 'shall', 'compare', 'world', 'fruitinfused', 'belgian', 'refermented', 'seconduse', 'chuckleberries', 'added', 'orange', 'peel', 'cinnamon', 'allspice', 'nutmeg', 'vanilla', 'result', 'unique', 'mix', 'tart', 'juicy', 'fruit', 'sweetness', 'spice', 'vinous', 'tart', 'cranberry', 'blueberry', 'sherbet', 'cherry', 'followed', 'sweet', 'vanilla', 'zesty', 'orange', 'building', 'spice', 'body', 'lightbodied', 'tart', 'dry', 'aftertaste', 'spice', 'linger', 'alongside', 'cranberry', 'tannic', 'grape', 'skin']",11,2019,3.0,0.2783
10245,Stout - Coffee,7.0,5869,Stout,"['winner', 'best', 'europe', 'world', 'award', 'dark', 'voluptuous', 'breakfast', 'infused', 'ethiopian', 'guji', 'natural', 'coffee', 'bean', 'staffordbased', 'coffee', 'roaster', 'hasbean', 'velvety', 'viscous', 'balanced', 'delicately', 'zealand', 'veganfriendly']",9,2012,6.0,0.3196
10246,Farmhouse Ale - Bière de Mars,6.2,180,Farmhouse Ale,"['wine', 'barrelaged', 'biere', 'de', 'mar']",2,2017,3.0,0.2424
10247,Farmhouse Ale - Saison,6.5,2134,Farmhouse Ale,"['choosing', 'best', 'saison', 'à', 'la', 'provision', 'foudre', 'number', 'chardonnay', 'barriques', 'blended', 'large', 'portion', 'lambic', 'imported', 'belgium', 'aging', 'burning', 'sky']",7,2015,3.0,0.3137
10248,Wheat Beer - Witbier,5.0,3550,Wheat Beer,"['obust', 'round', 'witbier', 'orange', 'lemon', 'yeast', 'touch', 'cinnamon', 'almost', 'earthy', 'nutty', 'element', 'bit', 'creaminess', 'right', 'amount', 'zing', 'collaboration', 'friend', 'brouwerij', 'van', 'steenberge', 'ertvelde', 'belgium']",7,2011,3.0,0.1929
10249,Stout - Oyster,5.3,699,Stout,"['based', 'irish', 'extra', 'fullbodied', 'black', 'delicious', 'roasted', 'coffee', 'chocolate', 'pound', 'whole', 'oyster', 'sourced', 'different', 'cape', 'cod', 'town', 'quahog', 'shell', 'harwich', 'added', 'kettle', 'boiling', 'adding', 'mineral', 'shell', 'well', 'mild', 'historic', 'memorable', 'visit', 'oysterscapecodbeercom', 'full', 'story', 'making']",11,2017,6.0,0.2304
10250,Pilsner - Other,5.2,1042,Pilsner,"['cloudy', 'aromatic', 'highly', 'carbonated', 'lightly', 'hopped', 'tettnanger', 'flower', 'yeast', 'variety', 'technique', 'creates', 'unique', 'smooth', 'soft']",4,2012,5.0,0.2479
10251,Sour - Flanders Red Ale,4.6,491,Sour,"['idea', 'white', 'rabbit', 'red', 'came', 'previously', 'loved', 'wine', 'barrel', 'sourced', 'head', 'jeremy', 'halse', 'team', 'let', 'nature', 'take', 'course', 'spontaneous', 'wild', 'fermentation', 'oak', 'extended', 'period', 'time', 'creating', 'special', 'barrelaged', 'french', 'oak', 'perfumed', 'red', 'winelike', 'complexity', 'flemish', 'red', 'play', 'sweet', 'sour', 'bitter', 'accentuated', 'tart', 'cherry', 'tang', 'creating', 'depth', 'appeal', 'wine', 'cider', 'drinker']",6,2015,3.0,0.3299
10252,Scottish Ale,8.5,268,Other,"['bourbon', 'barrel', 'aged', 'drafty', 'kilt', 'stuff', 'take', 'back', 'grandma', 'kitchen', 'apple', 'cinnamon', 'bourbon']",7,2018,3.0,0.2151
10253,Golden Ale,4.2,210,Other,"['golden', 'handcrafted', 'exclusively', 'aldi', 'named', 'hudson', 'bay', 'white', 'wolf']",6,2018,4.0,0.1902
10254,Scotch Ale / Wee Heavy,7.3,11086,Other,"['heard', 'look', 'deceiving', 'well', 'mcewan', 'champion', 'exhibit', 'proving', 'statement', 'true', 'impression', 'sweet', 'fruity', 'delicate', 'taste', 'belies', 'power', 'fully', 'get', 'know', 'intense', 'realise', 'strong', 'dark', 'traditional', 'william', 'mcewan', 'would', 'proud']",12,2010,4.0,0.2162
10255,Stout - Oatmeal,6.2,831,Stout,"['inky', 'black', 'colour', 'intense', 'roast', 'rich', 'roasted', 'coffee', 'palate', 'touch', 'raisin', 'dried', 'fruit', 'oatmeal', 'addition', 'give', 'full', 'creamy', 'mouthfeel', 'long', 'bronze', 'medal', 'dublin', 'craft', 'cup']",2,2017,6.0,0.2889
10256,Sour - Fruited,5.6,1536,Sour,"['somewhere', 'biting', 'juicy', 'fresh', 'nectarine', 'cracking', 'open', 'tin', 'canned', 'peach', 'dazzling', 'peach', 'creamy', 'vanilla', 'creep', 'suitable', 'vegan']",3,2020,1.0,0.2003
10257,Lambic - Fruit,6.5,460,Lambic,"['kg', 'hand', 'pitted', 'apricot', 'per', 'l', 'try', 'great', 'job', 'matt']",3,2018,2.0,0.193
10258,Pilsner - German,5.1,785,Pilsner,"['unfiltered', 'pilsner', 'embraced', 'familiar', 'value', 'patience', 'simplicity', 'written', 'many', 'favorite', 'result', 'come', 'adding', 'time', 'simplicity', 'wort', 'hill', 'country', 'well', 'water', 'softened', 'white', 'horn', 'pilsner', 'friend', 'blacklands', 'hallertau', 'mittelfruh', 'single', 'decoction', 'mash', 'involves', 'removing', 'part', 'main', 'mash', 'cooking', 'separately', 'period', 'time', 'effort', 'yield', 'complexity', 'melanoidin', 'production', 'fermented', 'wort', 'yeast', 'community', 'culture', 'yeast', 'lab', 'san', 'antonio', 'lagered', 'six', 'week', 'horizontal', 'dairy', 'tank', 'left', 'unfiltered', 'unpasteurized', 'making', 'familiar', 'making', 'farmhouse', 'sense', 'substitute', 'time']",12,2019,5.0,0.2454
10259,Stout - Imperial / Double Coffee,13.0,7487,Stout,"['historically', 'bomb', 'incorporated', 'coffee', 'named', 'espresso', 'divino', 'tulsa', 'oklabased', 'nordaggios', 'coffee', 'version', 'include', 'single', 'bean', 'peru', 'roasted', 'full', 'city', 'vienna', 'sourced', 'spaceship', 'earth', 'coffee', 'co', 'mcalester', 'okla']",12,2016,6.0,0.2646
10260,Kvass,5.0,153,Other,"['kvass', 'w', 'beet', 'lemon', 'zest', 'rye', 'conditioned', 'beet', 'juice', 'lemon', 'zest', 'delightfully', 'quaffable', 'drink', 'imparts', 'bright', 'lemon', 'meringue', 'pumpernickel', 'pear', 'touch', 'purple', 'earth']",4,2018,5.0,0.2948
10261,Sour - Flanders Red Ale,9.5,976,Sour,"['oracle', 'red', 'wine', 'barrelaged', 'cabernet', 'grape', 'sour', 'news', 'nowhere', 'base', 'red', 'wine', 'barrel', 'added', 'lb', 'per', 'barrel', 'cabernet', 'grape', 'spent', 'barrel', 'bottling', 'resulting', 'tart', 'bright', 'gorgeous', 'blood', 'red', 'hue', 'wine', 'grape', 'saturated', 'oracle', 'fascinating', 'marriage', 'sour', 'wine']",5,2014,3.0,0.4092
10262,California Common,4.0,306,Other,"['nd', 'r', 'crisp', 'bitter', 'cascade', 'hopped', 'steam', 'fermented', 'yeast', 'fermentation', 'temperature', 'hopped', 'exclusively', 'cascade', 'biscuity', 'crackery', 'dryness', 'delicious', 'classic', 'og', 'cascade', 'vibe', 'dry', 'bitter', 'drinkable', 'recipe', 'concept', 'john', 'celebrate', 'birthday', 'twin', 'roark', 'rose']",9,2020,1.0,0.214
10263,Strong Ale - English,13.6,1417,Strong Ale,"['check', 'latest', 'scoop', 'barrel', 'warehouse', 'added', 'peach', 'apricot', 'barrelaged', 'dusted', 'dessertstyle', 'cinnamon', 'added', 'vanilla', 'impart', 'sweet', 'creamy', 'ripple']",2,2018,6.0,0.2418
